LOC/COUNT: 21 | EXTRACTED SUB30: 25.06 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-61,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,20092695,0,84,0,0,20.4756,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -8 31 -10 29 -11 31 -11 30 -12 31 -12 29 -13 30 -13 29 -13 29 -15 29 -15 29 -15 28 -15 28 -16 27 -15 25 -16 27 -14 26 -15 25 -14 24 -14 24 -14 23 -13 24 -14 23 -13 23 -12 22 -12 22 0 0 -11 21 -10 22 -9 20 -9 21 -8 20 -8 20 -7 20 -6 19 -6 19 -5 19 -5 19 -4 18 -4 18 -3 17 -2 18 -1 17 -1 18 0 16 0 16 0 15 1 15 1 14 1 15 2 14 2 13 3 12 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 22 | EXTRACTED SUB30: 23.02 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-61,11,1,3,1,1,1,1,0,0,0,-96,1,6,1,20178910,0,84,0,0,20.5618,384,[84 -64 4 0 0 0 0 0 0 0 0 0 27 -8 26 -7 29 -6 28 -5 29 -5 27 -4 28 -4 29 -4 28 -4 29 -2 29 -1 29 0 28 0 28 1 25 0 28 0 26 0 27 0 25 1 25 0 24 1 25 0 25 1 23 1 23 1 23 -1 0 0 22 -1 22 -1 21 -1 21 -2 19 -1 20 -2 19 -2 18 -3 18 -4 18 -4 17 -4 16 -4 16 -4 15 -5 16 -6 15 -6 16 -7 13 -6 13 -7 13 -7 12 -7 12 -7 12 -7 11 -7 10 -7 10 -7 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 23 | EXTRACTED SUB30: 25.63 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-62,11,1,5,1,1,1,0,0,0,0,-96,0,6,1,20220070,0,82,0,0,20.603,384,[82 -96 4 0 0 0 0 0 0 0 0 0 0 30 -4 29 -3 32 -4 30 -6 31 -6 30 -6 30 -7 30 -6 30 -9 30 -8 30 -9 29 -10 29 -11 28 -9 28 -10 29 -9 27 -9 26 -9 27 -9 26 -9 26 -9 26 -9 24 -9 24 -9 24 -7 24 0 0 -7 23 -6 24 -6 23 -6 22 -5 21 -4 21 -5 21 -3 20 -3 20 -1 20 -3 19 -1 18 -1 18 -1 18 0 18 0 17 1 18 2 16 2 16 3 16 3 15 3 15 3 15 3 14 3 14 4 13 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 24 | EXTRACTED SUB30: 8.60 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-62,11,1,5,1,1,1,1,0,0,0,-96,1,6,1,20266199,0,84,0,0,20.649,384,[84 -64 4 0 0 0 0 0 0 0 0 0 9 6 8 6 9 7 8 7 8 7 7 7 7 7 7 8 7 8 7 8 7 8 7 8 7 8 6 8 6 8 6 8 6 7 6 8 6 7 6 7 5 8 5 7 5 7 5 7 5 7 5 7 0 0 5 6 6 6 5 6 5 6 5 5 5 5 5 5 5 5 5 4 5 4 5 4 5 4 5 3 5 3 5 3 6 2 5 3 5 2 5 2 5 2 5 2 5 2 5 2 5 1 5 2 5 1 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 25 | EXTRACTED SUB30: 22.47 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-59,11,1,4,1,1,1,1,0,0,0,-96,1,6,1,20358547,0,84,0,0,20.7414,384,[84 -64 4 0 0 0 0 0 0 0 0 0 27 7 26 7 27 8 27 9 27 9 25 10 24 11 24 11 24 11 24 12 24 12 24 12 24 13 24 13 23 14 23 13 22 12 21 12 21 13 20 13 20 12 21 12 19 11 20 11 19 12 20 11 0 0 19 10 20 10 19 10 19 8 17 9 18 8 18 8 18 7 17 7 18 5 18 5 17 5 18 4 17 4 18 3 18 2 18 3 17 2 17 2 16 1 16 2 16 1 16 1 16 0 15 0 15 -1 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 26 | EXTRACTED SUB30: 23.60 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-61,11,1,5,1,1,1,1,0,0,0,-96,1,6,1,20444352,0,84,0,0,20.8272,384,[84 -64 4 0 0 0 0 0 0 0 0 0 27 10 27 11 27 12 27 12 26 13 26 13 25 15 25 15 25 14 24 16 24 15 25 16 24 16 23 16 22 16 22 16 22 15 21 15 20 15 20 15 19 15 20 14 19 14 19 14 19 14 19 13 0 0 18 11 19 12 18 11 18 9 17 11 17 9 17 9 17 8 17 7 18 6 17 6 16 5 17 5 17 4 17 4 17 3 16 3 17 2 16 1 15 1 16 1 15 0 15 0 15 -1 14 -2 13 -2 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 27 | EXTRACTED SUB30: 20.10 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-64,11,1,7,1,1,1,1,0,0,0,-96,1,6,1,20534320,0,84,0,0,20.9172,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -10 -26 -9 -24 -9 -27 -8 -26 -7 -27 -6 -25 -6 -26 -5 -25 -6 -25 -4 -27 -3 -26 -3 -26 -3 -25 -2 -25 -2 -23 -3 -26 -2 -23 -3 -23 -3 -22 -2 -22 -3 -22 -3 -21 -2 -21 -2 -21 -2 -20 -3 -19 0 0 -4 -18 -5 -18 -4 -18 -5 -18 -4 -16 -5 -17 -5 -16 -6 -16 -7 -14 -7 -14 -7 -13 -6 -13 -7 -12 -7 -12 -8 -13 -8 -11 -8 -12 -8 -10 -9 -9 -9 -9 -9 -9 -9 -8 -9 -8 -9 -7 -8 -7 -9 -6 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 28 | EXTRACTED SUB30: 8.25 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-64,11,1,4,1,1,1,1,0,0,0,-96,1,6,1,20631576,0,84,0,0,21.0145,384,[84 -64 4 0 0 0 0 0 0 0 0 0 6 10 5 9 5 10 4 9 6 10 4 8 5 10 4 9 5 9 3 10 3 10 2 10 3 10 3 10 3 9 3 10 2 9 3 8 2 7 3 8 2 8 3 7 2 8 2 8 2 8 2 7 0 0 2 6 3 7 3 6 3 6 2 5 3 5 3 5 3 4 3 5 3 4 2 4 2 4 2 4 3 3 3 3 3 2 3 3 3 2 3 2 3 2 3 2 2 1 3 1 3 1 2 1 2 0 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 29 | EXTRACTED SUB30: 13.45 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-63,11,1,4,1,1,1,1,0,0,0,-96,1,6,1,20718018,0,84,0,0,21.1009,384,[84 -64 4 0 0 0 0 0 0 0 0 0 8 -15 9 -14 10 -17 10 -15 11 -15 11 -14 10 -13 11 -13 11 -13 11 -13 10 -13 10 -12 11 -12 11 -12 10 -11 11 -13 10 -12 10 -12 10 -12 10 -10 9 -10 10 -11 9 -10 8 -10 9 -10 8 -11 0 0 8 -10 7 -11 7 -10 6 -11 6 -10 7 -10 6 -10 6 -10 5 -9 4 -10 3 -10 3 -9 3 -9 3 -8 3 -9 2 -9 3 -10 2 -9 2 -8 1 -8 1 -8 0 -8 0 -8 0 -8 0 -7 0 -7 0 0 0 0 0 0 0 0 0 0 ]
LOC/COUNT: 30 | EXTRACTED SUB30: 23.54 | RAW STRING: CSI_DATA,AP,98:F4:AB:29:67:94,-64,11,1,6,1,1,1,1,0,0,0,-96,1,6,1,20805676,0,84,0,0,21.1886,384,[84 -64 4 0 0 0 0 0 0 0 0 0 -12 -27 -11 -27 -11 -29 -10 -28 -10 -29 -8 -27 -9 -28 -9 -27 -8 -28 -7 -28 -6 -28 -6 -28 -5 -28 -5 -27 -5 -26 -6 -28 -6 -25 -5 -26 -5 -25 -6 -24 -6 -24 -5 -24 -5 -23 -5 -23 -5 -23 -6 -21 0 0 -6 -21 -6 -22 -6 -21 -7 -20 -6 -19 -7 -19 -7 -18 -7 -18 -7 -17 -8 -17 -8 -17 -8 -16 -8 -15 -9 -15 -9 -15 -9 -13 -10 -14 -9 -12 -10 -12 -9 -11 -10 -11 -9 -11 -10 -11 -9 -10 -8 -9 -10 -9 0 0 0 0 0 0 0 0 0 0 ]
